sample	BLCA	CESC	ESCA	HNSC	LUSC
TCGA-CV-5443_normal	0.0374926	0.07994158	0.12862241	0.6671122	0.08683124
TCGA-CV-5979_normal	0.0226331	0.084467866	0.23822996	0.59802806	0.05664106
TCGA-CV-6935_normal	0.00029031726	0.0025274756	0.09035826	0.8993764	0.007447529
TCGA-CV-5966_normal	0.0030039717	0.022626	0.04604524	0.9224791	0.0058456827
TCGA-CV-7103_normal	0.00028839993	0.0048337197	0.033948	0.9596636	0.001266286
TCGA-CV-5976_normal	0.006106807	0.06139829	0.114215784	0.8100157	0.008263475
TCGA-CV-5970_normal	0.0021061348	0.018263787	0.037887204	0.9384742	0.003268619
TCGA-CV-6953_normal	0.039936863	0.028149378	0.014557938	0.8483621	0.06899367
TCGA-CV-5430_normal	0.0014033063	0.0044782055	0.043687828	0.9328999	0.017530773
TCGA-CV-6433_normal	0.0042322017	0.037462678	0.0359818	0.9186035	0.003719819
TCGA-CV-6939_normal	0.012403489	0.048389353	0.0550948	0.86736023	0.016752044
TCGA-CV-6959_normal	0.0020889828	0.02320419	0.06310588	0.907395	0.0042059454
TCGA-CV-5434_normal	0.01251873	0.032248557	0.24297029	0.61626667	0.095995754
TCGA-CV-5432_normal	0.002693508	0.010127881	0.028433438	0.94846576	0.010279423
TCGA-CV-6938_normal	0.005378	0.013889769	0.07884414	0.8648865	0.037001606
TCGA-CV-6955_normal	0.00013189341	0.00019620018	0.0021754901	0.9937255	0.0037709398
TCGA-CV-7101_normal	0.002716272	0.0069842315	0.065616906	0.8891678	0.035514828
TCGA-CV-5439_normal	0.021849917	0.088306956	0.068902574	0.80083597	0.02010457
TCGA-CV-6961_normal	0.00023964148	0.0028236464	0.004929054	0.9915057	0.00050199596
TCGA-CV-6003_normal	0.005954838	0.0660615	0.1312689	0.78915954	0.007555292
TCGA-CV-7255_normal	0.0057789744	0.049531024	0.19280633	0.7381746	0.013709105
TCGA-CV-5431_normal	0.0037476027	0.015641062	0.38487205	0.53166634	0.064072914
TCGA-CV-5444_normal	0.041899946	0.038331863	0.16983627	0.44594646	0.30398548
TCGA-CV-6441_normal	0.0009335716	0.016332502	0.062194534	0.9182679	0.002271372
TCGA-CV-5442_normal	0.024691258	0.13418402	0.09732881	0.72610396	0.017691875
TCGA-CV-7250_normal	0.00053890096	0.0074111577	0.21945058	0.76519537	0.0074040047
TCGA-CV-7089_normal	0.13231573	0.24080308	0.28379527	0.16549873	0.17758714
TCGA-CV-5977_normal	0.04706317	0.11898035	0.04531873	0.75762546	0.031012341
TCGA-CV-7235_normal	0.024850601	0.15726598	0.29257524	0.49558723	0.029720958
TCGA-CV-6933_normal	0.022409433	0.19266194	0.3625509	0.39887843	0.02349933
TCGA-CV-6934_normal	0.003573909	0.0067954566	0.09255977	0.8241734	0.07289749
TCGA-CV-6954_normal	0.0014939861	0.020770626	0.032624766	0.9433319	0.0017788114
TCGA-CV-5441_normal	0.009175158	0.028676145	0.045979556	0.8956494	0.020519778
TCGA-CV-5435_normal	0.00087596296	0.008571729	0.74575883	0.21837835	0.026415069
TCGA-CV-5978_normal	0.17038143	0.20451224	0.1702145	0.23585822	0.21903363
TCGA-MY-A5BF_normal	0.09957831	0.72231734	0.119682714	0.04832521	0.010096459
TCGA-HM-A3JJ_normal	0.03125568	0.25757074	0.50197494	0.17860694	0.0305917
TCGA-GD-A3OQ_normal	0.8988389	0.0076694214	1.8194683e-05	0.0064986823	0.086974755
TCGA-K4-A3WV_normal	0.8606255	0.05349943	0.000336591	0.013014628	0.07252375
TCGA-BT-A20P_normal	0.21321043	0.3212747	0.1617614	0.16218142	0.14157206
TCGA-BT-A20X_normal	0.17737141	0.32003435	0.17299001	0.1986907	0.13091353
TCGA-BT-A20N_normal	0.12297413	0.31923568	0.26660326	0.18678308	0.104403846
TCGA-BT-A20R_normal	0.09094149	0.20816061	0.30981186	0.25214812	0.1389379
TCGA-GC-A6I3_normal	0.5809948	0.043413132	0.0019279779	0.09570696	0.2779571
TCGA-K4-A54R_normal	0.89150125	0.0063720285	1.4964325e-05	0.004634609	0.097477175
TCGA-CU-A0YR_normal	0.53907746	0.14120844	0.0123455515	0.10365973	0.2037088
TCGA-GC-A3BM_normal	0.936953	0.0033030682	2.3476657e-06	0.0032056689	0.056535956
TCGA-BT-A20U_normal	0.4842521	0.3857238	0.0009908556	0.12241141	0.0066217794
TCGA-BT-A20J_normal	0.7287636	0.07162222	0.0018743392	0.035301637	0.16243818
TCGA-BT-A2LA_normal	0.94455594	0.00049031735	1.0806095e-07	0.0013793636	0.053574268
TCGA-GD-A3OP_normal	0.851473	0.043188613	0.00024212131	0.026523633	0.07857271
TCGA-BT-A20V_normal	0.8628571	0.0128505025	5.4837587e-05	0.014187899	0.11004959
TCGA-GC-A3WC_normal	0.5802816	0.103631504	0.0069821584	0.07987982	0.22922486
TCGA-GD-A2C5_normal	0.9647499	0.0038122402	8.426396e-07	0.0050606066	0.026376577
TCGA-K4-A5RI_normal	0.78611183	0.03076098	0.0003174557	0.040586308	0.14222336
TCGA-CU-A0YN_normal	0.21014981	0.3637085	0.17493986	0.13008898	0.1211129
TCGA-BT-A20W_normal	0.8607478	0.021476535	9.1747395e-05	0.022740044	0.09494394
TCGA-BL-A13J_normal	0.122143336	0.47006738	0.23306556	0.123266906	0.051456828
